"Artist","Single","Released","Sales (in millions)","Source"
"T-Pain","""Buy U a Drank (Shawty Snappin')""","2007","5.9",""
"Jay-Z featuring Kanye West and Rihanna","""Run This Town""","2009","5.86",""
"The Black Eyed Peas","""Imma Be""","2009","5.8",""
"Justin Timberlake","""My Love""","2006","5.74",""
"Akon","""Don't Matter""","2007","5.7",""
"Soulja Boy Tell'em featuring Sammie","""Kiss Me thru the Phone""","2007","5.7",""
"Alicia Keys","""No One""","2007","5.6",""
"Usher featuring Young Jeezy","""Love in This Club""","2008","5.6",""
"Katy Perry","""Wide Awake""","2012","5.59",""
"Lady Gaga","""Alejandro""","2010","5.52",""
"Chris Brown","""With You""","2007","5.5",""
"Swedish House Mafia featuring John Martin","""Don't You Worry Child""","2012","5.5",""
"Kanye West","""Heartless""","2008","5.5",""
"Big Bang","""Bang Bang Bang""","2015","5.5",""
"Phillip Phillips","""Home""","2012","5.4",""
"Adele","""Make You Feel My Love""","2008","5.37",""
"Justin Timberlake","""What Goes Around... Comes Around""","2006","5.26",""
"Greeeen","""Ai Uta""","2007","5.25",""
"Shop Boyz","""Party Like a Rockstar""","2007","5.2",""
"Soulja Boy Tell 'Em","""Crank That (Soulja Boy)""","2007","5.2",""
"Britney Spears","""Till the World Ends""","2011","5.2",""
"Katy Perry","""Part of Me""","2012","5.19",""
"Madonna featuring Justin Timberlake and Timbaland","""4 Minutes""","2008","5.15",""
"Big Bang","""If You""","2015","5.1",""
"Ai","""Story""","2005","5",""
"Ashida Mana & Suzuki Fuku as Kaoru to Tomoki, Tamani Mook","""Maru Maru Mori Mori!""","2011","5",""
"Avicii","""Levels""","2011","5",""
"Kelly Clarkson","""Stronger (What Doesn't Kill You)""","2012","5",""
"Greeeen","""Haruka""","2009","5",""
"Green Day","""Boulevard of Broken Dreams""","2004","5",""
"Enrique Iglesias featuring Pitbull","""I Like It""","2010","5",""
"Michael Learns to Rock","""Take Me to Your Heart""","2006","5",""
"Shakira featuring Alejandro Sanz","""La Tortura""","2005","5",""
"Shakira featuring Dizzee Rascal","""Loca""","2010","5",""
