"Artist","Single","Released","Sales (in millions)","Source"
"Maroon 5","""One More Night""","2012","6.9",""
"Usher featuring will.i.am","""OMG""","2010","6.9",""
"The Black Eyed Peas","""Just Can't Get Enough""","2011","6.75",""
"T.I. featuring Justin Timberlake","""Dead and Gone""","2009","6.7",""
"Flo Rida","""Whistle""","2012","6.6",""
"Train","""Hey, Soul Sister""","2009","6.6",""
"Justin Timberlake","""Mirrors""","2013","6.54",""
"Katy Perry","""Last Friday Night (T.G.I.F)""","2008","6.53",""
"Flo Rida featuring Sia","""Wild Ones""","2012","6.5",""
"Bruno Mars","""The Lazy Song""","2011","6.5",""
"Shonan no Kaze","""Junrenka""","2006","6.5",""
"Britney Spears","""Circus""","2008","6.5",""
"Justin Timberlake","""Can't Stop the Feeling!""","2016","6.44",""
"Justin Bieber featuring Ludacris","""Baby""","2010","6.4",""
"Akon featuring Eminem","""Smack That""","2006","6.4",""
"Rihanna","""What's My Name?""","2010","6.32",""
"Lady Gaga","""The Edge of Glory""","2011","6.15",""
"Paramore","""crushcrushcrush""","2007","6.1",""
"IU","""You and I""","2011","6.07",""
"Avril Lavigne","""What the Hell""","2011","6.04",""
"A Great Big World and Christina Aguilera","""Say Something""","2013","6",""
"Clean Bandit featuring Jess Glynne","""Rather Be""","2014","6",""
"Kimura Kaela","""Butterfly""","2009","6",""
"The Pussycat Dolls featuring Busta Rhymes","""Don't Cha""","2005","6",""
