"Artist","Single","Released","Sales (in millions)","Source"
"Rihanna featuring Calvin Harris","""We Found Love""","2011","12.96",""
"Katy Perry","""Firework""","2010","12.82",""
"Eminem","""Lose Yourself""","2002","12.6",""
"Ellie Goulding","""Love Me like You Do""","2015","12.6",""
"Drake featuring WizKid and Kyla","""One Dance""","2016","12.5",""
"Bruno Mars","""Grenade""","2010","12.47",""
"Lady Gaga","""Bad Romance""","2009","12.35",""
"Adele","""Hello""","2015","12.3",""
"John Legend","""All of Me""","2013","12.3",""
"Jason Mraz","""I'm Yours""","2008","12.2",""
"Coldplay","""Viva La Vida""","2008","12.1",""
"Flo Rida featuring Kesha","""Right Round""","2009","12",""
"Flo Rida featuring T-Pain","""Low""","2007","12",""
