"Artist","Single","Released","Sales
(in millions)","Source"
"Wiz Khalifa featuring Charlie Puth","""See You Again""","2015","20.9",""
"Adele","""Rolling in the Deep""","2010","20.6",""
"Lady Gaga","""Poker Face""","2008","20.58",""
"Maroon 5 featuring Christina Aguilera","""Moves like Jagger""","2011","20.2",""
"Mark Ronson featuring Bruno Mars","""Uptown Funk""","2014","20",""
"Ed Sheeran","""Thinking Out Loud""","2014","19.5",""
"Carly Rae Jepsen","""Call Me Maybe""","2011","18",""
"The Black Eyed Peas","""I Gotta Feeling""","2009","17.7",""
"Eminem featuring Rihanna","""Love the Way You Lie""","2010","17.54",""
"Adele","""Someone Like You""","2011","17.35",""
"Bruno Mars","""Just the Way You Are""","2010","16.19",""
"Kesha","""TiK ToK""","2009","15",""
