,Song,Artist,artist_trunc,search_term,lyrics_raw
149,Blurred Lines,Robin Thicke featuring T.I. and Pharrell,Robin Thicke,Blurred Lines Robin Thicke,error
150,Boom Boom Pow,The Black Eyed Peas,The Black,Boom Boom Pow The Black,error
151,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,LMFAO featuring,Party Rock Anthem LMFAO featuring,error
152,Happy,Pharrell Williams,Pharrell Williams,Happy Pharrell Williams,error
153,Just Dance,Lady Gaga featuring Colby O'Donis,Lady Gaga,Just Dance Lady Gaga,error
154,Sugar,Maroon 5,Maroon 5,Sugar Maroon 5,error
155,Gangnam Style,Psy,Psy,Gangnam Style Psy,error
156,Thrift Shop,Macklemore and Ryan Lewis featuring Wanz,Macklemore and,Thrift Shop Macklemore and,error
157,Dark Horse,Katy Perry featuring Juicy J,Katy Perry,Dark Horse Katy Perry,error
158,Payphone,Maroon 5 featuring Wiz Khalifa,Maroon 5,Payphone Maroon 5,error
159,Lean On,Major Lazer & DJ Snake featuring MO,Major Lazer,Lean On Major Lazer,error
160,Somebody That I Used to Know,Gotye featuring Kimbra,Gotye featuring,Somebody That I Used to Know Gotye featuring,error
161,Petit Papa Noel,Tino Rossi,Tino Rossi,Petit Papa Noel Tino Rossi,error
162,She Loves You,The Beatles,The Beatles,She Loves You The Beatles,error
163,Dancing Queen,ABBA,ABBA,Dancing Queen ABBA,error
164,"We Can Work It Out""/""Day Tripper",The Beatles,The Beatles,"We Can Work It Out""/""Day Tripper The Beatles",error
165,Get Back,The Beatles,The Beatles,Get Back The Beatles,error
166,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya and Pink","Christina Aguilera,","Lady Marmalade Christina Aguilera,",error
167,Simon Says,1910 Fruitgum Company,1910 Fruitgum,Simon Says 1910 Fruitgum,error
168,Waterloo,ABBA,ABBA,Waterloo ABBA,error
169,My Blue Heaven,Gene Austin,Gene Austin,My Blue Heaven Gene Austin,error
170,That Silver-Haired Daddy of Mine,Gene Autry,Gene Autry,That Silver-Haired Daddy of Mine Gene Autry,error
171,Massachusetts,Bee Gees,Bee Gees,Massachusetts Bee Gees,error
172,Karma Chameleon,Culture Club,Culture Club,Karma Chameleon Culture Club,error
173,Sadeness (Part I),Enigma,Enigma,Sadeness (Part I) Enigma,error
174,My Sweet Lord,George Harrison,George Harrison,My Sweet Lord George Harrison,error
175,Release Me,Engelbert Humperdinck,Engelbert Humperdinck,Release Me Engelbert Humperdinck,error
