,Song,Artist,artist_trunc,search_term,lyrics_raw
3541,Grind with Me,Pretty Ricky,Pretty Ricky,Grind with Me Pretty Ricky,"[Hook]
Baby grind on me, relax your mind take your time on me
Let me get deeper shawty, ride on me
Now come and sex me 'til your body gets weak
We slow grinding
Baby grind on me, relax your mind take your time on me
Let get deeper shawty, ride on me
Now come and sex me 'til your body gets weak
We slow grinding babe

[Verse 1]
When I hit 'em I make 'em say (oh)
Sex be my day (job)
I hit 'em in the back of my (car)
Make 'em ride like a see (saw)
I make 'em laugh and giggle
Cuddle a little
Suck on the nipple
Lick the whip cream from the middle
Girlfriend I never go (raw)
I rip off panties and I pop off (bras)
B.L.U.E.S.T.A. (R)
Ask around the block how freaky we (are)
I drink Red Bull so I keep stamina
Rubbing your belly
Busting your brains
Whats my name (whats my name)
Pretty Rickie, pretty Boy
Doing pretty good thangs
Making pretty good change
Yeah pretty good breaks
From the pretty, pretty chicks
Yeah pretty damn rich
Pretty Rickie, Rickie Rickie
And the Mavericks

[Hook]
Baby grind on me, relax your mind take your time on me
Let get deeper shawty, ride on me
Now come and sex me 'til your body gets weak
We slow grinding
Baby grind on me, relax your mind take your time on me
Let get deeper shawty, ride on me
Now come and sex me 'til your body gets weak
We slow grinding babe

[Verse 2]
Lay on your back let me put this cream on ya baby
Slow motion bout to put this thing on ya baby
Staring in your eyes
Bout to lick them thighs
Got cha Hypnotized
Do you feel the vibe?
(Oooooooooooooo)
Staring in your eyes
Bout to lick them thighs
Got cha hypnotized
Do you feel the vibe?
(Step 1) ya kissisng on me
(Step 2) girl I'm caressing your body
(Step 3) now I'm licking off the whip cream
(Step 4) and oooh you're grinding on me

[Hook]
Baby grind on me, relax your mind take your time on me
Let get deeper shawty, ride on me
Now come and sex me 'til your body gets weak
We slow grinding
Baby grind on me, relax your mind take your time on me
Let get deeper shawty, ride on me
Now come and sex me 'til your body gets weak
We slow grinding babe

[Verse 3]
Slick got more game than a little bit
Baby girl 5' 5"", brown eyes with them thick lips
Thick thighs with the slim hips
Sugar honey, ice tea
Baby girl is so sweet
And a bag of chips
I like to catch her when she coming home
Like side with a cherry thong
Eat her up like a sundae cone
But as of morning you got me open
Your tongue is stroking no joking
Coochie swollen, the bedroom smoking
Get some air up in this room girl
If loving you is wrong, I don't wanna be right
So I'mma take my time and do it right
Caz we got all night ..... caz we got all night, baby girl just

[Hook]
Baby grind on me, relax your mind take your time on me
Let get deeper shawty, ride on me
Now come and sex me 'til your body gets weak
We slow grinding
Baby grind on me, relax your mind take your time on me
Let get deeper shawty, ride on me
Now come and sex me 'til your body gets weak
We slow grinding babe"
3542,Run It!,Chris Brown featuring Juelz Santana,Chris Brown,Run It! Chris Brown,"[Produced by Scott Storch]

[Music Video]

[Intro: Juelz Santana]
Okay, check it, check it, check it out
It's Santana again stepping, stepping, stepping out
One of the brand new big boy toys
I do big boy things, I make big boy noise, 'cause
I know what girls want, I know what they like
They wanna stay up and party all night
So bring a friend!

[Verse 1: Chris Brown]
Let me talk to you, tell you how it is
I was thinking when I saw that body
Gotta get shawty, tell her what the young boy gon' do
Damn, them chicks with you gotta be your kin
Baby, pretty thick with the kick that's sick
That need to be hit, so tell me what y'all gon' do

[Pre-Chorus: Chris Brown]
I got friends and you got friends
They hop out, and you hop in
I look fly and they jocking
The way you drop, drop makes me wanna pop
I got friends and you got friends
They hop out, and you hop in
I look fly and they jocking
The way you drop, drop makes me wanna pop

[Chorus: Chris Brown]
Is ya man on the floor? If he ain't, lemme know
Let me see if you can run it, run it, girl indeed I can run it, run it
Is ya man on the floor? If he ain't, lemme know
Let me see if you can run it, run it, girl indeed I can run it, run it

[Verse 2: Chris Brown]
You'll see, girl I can set you off
Don't believe my age is gonna slow us down
I can definitely show you things to have you saying I can't be 16
Once I get in you won't wanna go
(And I) I'll have the girls wishing they were you
(And I) I know you heard about me
But guess what's going down if we leave

[Pre-Chorus: Chris Brown]
I got friends and you got friends
They hop out, and you hop in
I look fly and they jocking
The way you drop, drop makes me wanna pop
I got friends and you got friends
They hop out, and you hop in
I look fly and they jocking
The way you drop, drop makes me wanna pop

[Chorus: Chris Brown]
Is ya man on the floor? If he ain't, lemme know
Let me see if you can run it, run it, girl indeed I can run it, run it
Is ya man on the floor? If he ain't, lemme know
Let me see if you can run it, run it, girl indeed I can run it, run it

[Bridge: Chris Brown (Juelz Santana)]
(Let's go!) Girl you feel right, feel right
Make me feel like, feel like
I wanna do a little something
Do a little something, ain't no thing let you do it for sure
Girl the way that you're wearing them jeans
Is turning me on
I'm the hottest thing that's in these streets
So baby won't you rock me? (DipSet, Santana)

[Verse 3: Juelz Santana]
Make it drop honey, make it pop honey
Whip whop, tick tock to the clock for me
Don't stop doing that and shawty
Know I mean what I say so she won't stop doing that
Plus I heard if you can dance you can bump
Well dance time is us, let's go, let's go, yup
We can get it in, we can gets some friends
Do it like the Ying Yang twins and start whispering
Wait 'til you see my (Ay!)
Wait 'til you see my (Ay!)
Let me fall back, you ain't ready for all that
Have you sleep late, real late, yeah taking a long nap
You tell your friends to get with my friends
We can be friends, switch and meet friends
(Switch!) We can do it all night long and...
'Til the clock hit morning, ya dig?

[Chorus: Chris Brown]
Is ya man on the floor? If he ain't, lemme know
Let me see if you can run it, run it, girl indeed I can run it, run it
Is ya man on the floor? If he ain't, lemme know
Let me see if you can run it, run it, girl indeed I can run it, run it"
3543,Photograph,Nickelback,Nickelback,Photograph Nickelback,"[Verse 1]
Look at this photograph
Every time I do it makes me laugh
How did our eyes get so red
And what the hell is on Joey's head?
And this is where I grew up
I think the present owner fixed it up
I never knew we'd ever went without
The second floor is hard for sneaking out
And this is where I went to school
Most of the time had better things to do
Criminal record says I broke in twice
I must have done it half a dozen times
I wonder if it's too late
Should I go back and try to graduate
Life's better now than it was back then
If I was them I wouldn't let me in

[Chorus]
Oh, oh, oh
Oh, god, I
Every memory of looking out the back door
I had the photo album spread out on my bedroom floor
It's hard to say it, time to say it
Goodbye, goodbye
Every memory of walking out the front door
I found the photo of the friend that I was looking for
It's hard to say it, time to say it
Goodbye, goodbye

[Verse 2]
Remember the old arcade
Blew every dollar that we ever made
The cops hated us hangin' out
They say somebody went and burned it down
We used to listen to the radio
And sing along with every song we know
We said someday we'd find out how it feels
To sing to more than just the steering wheel
Kim's the first girl I kissed
I was so nervous that I nearly missed
She's had a couple of kids since then
I haven't seen her since god knows when

[Chorus]
Oh, oh, oh
Oh, god, I
Every memory of looking out the back door
I had the photo album spread out on my bedroom floor
It's hard to say it, time to say it
Goodbye, goodbye
Every memory of walking out the front door
I found the photo of the friend that I was looking for
It's hard to say it, time to say it
Goodbye, goodbye

[Bridge]
I miss that town
I miss the faces
You can't erase
You can't replace it
I miss it now
I can't believe it
So hard to stay
Too hard to leave it
If I could I relive those days
I know the one thing that would never change

[Chorus]
Oh, oh, oh
Oh, god, I
Every memory of looking out the back door
I had the photo album spread out on my bedroom floor
It's hard to say it, time to say it
Goodbye, goodbye
Every memory of walking out the front door
I found the photo of the friend that I was looking for
It's hard to say it, time to say it
Goodbye, goodbye"
3544,Lonely,Akon,Akon,Lonely Akon,"Los Angeles, give it up one more time for Akon!

[Hook: Bobby Vinton]
Lonely, I'm Mr. Lonely
I have nobody for my own
Oh, I'm so lonely
I'm Mr. Lonely
I'm Mr. Lonely
I have nobody for my own
Oh, I'm so lonely

[Interlude over hook]
Yo Akon!
What up, dude?
You comin' or what, man?
No, I got a lot on my mind, I'ma let y'all go ahead, man
Alright. Come on. Alright, alright, let's do this

[Intro: Akon]
Yo, this one here goes out
To all my players out there, man
You know, that got that one good girl, dawg
That's always been there, man
Like, took all the bullshit
But then one day she can't take it no more
And decides to leave

[Verse 1: Akon]
Yeah, I woke up in the middle of the night
And I noticed my girl wasn't by my side
Could've sworn I was dreamin'
For her I was feenin'
So I had to take a little ride
Backtrackin' on these few years
Tryin' to figure out what I do to make it go bad
‘Cause ever since my girl left me
My whole life came crashin', and I'm so…

[Hook: Bobby Vinton & (Akon)]
Lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own, girl)
Oh, I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own, girl)
Oh, I'm so lonely

[Verse 2: Akon]
Can't believe I had a girl like you
And I just let you walk right out of my life
After all I put you through
You still stuck around and stayed by my side
What really hurt me is I broke your heart
Baby, you a good girl and I had no right
I really wanna make things right
‘Cause without you in my life, girl, I'm so…

[Hook: Bobby Vinton & (Akon)]
Lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own, girl)
Oh, I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own, baby)
Oh, I'm so lonely

[Verse 3: Akon]
Been all about the world
Ain't never met a girl
That could take the things that you been through
Never thought the day would come
Where you would get up and run
And I would be out chasin' you
‘Cause ain't nowhere in the globe I'd rather be
Ain't no one in the globe I'd rather see
Than the girl of my dreams that made me be
So happy, but now so lonely

[Hook: Bobby Vinton & (Akon)]
Lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own, no)
Oh, I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own, girl)
Oh, I'm so lonely

[Verse 4]
Never thought that I'd be alone
I didn't think you'd be gone this long
I just want you to call my phone
So stop playin', girl, and come on home
Baby girl, I didn't mean to shout
I want me and you to work it out
I never wished that I would ever hurt my baby
And it's drivin' me crazy, ‘cause I'm so…

[Hook: Bobby Vinton & (Akon)]
Lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own, no)
Oh, I'm so lonely (so lonely)
I'm Mr. Lonely (Mr. Lonely)
I have nobody (I have nobody)
For my own (to call my own, girl)
Oh, I'm so lonely

[Outro: Akon]
So lonely, so lonely
Mr. Lonely, so lonely
So lonely, so lonely
So lonely, Mr. Lonely"
3545,Collide,Howie Day,Howie Day,Collide Howie Day,"[Verse 1]
The dawn is breaking
A light shining through
You're barely waking
And I'm tangled up in you, yeah

I'm open, you're closed
Where I follow, you'll go
I worry I won't see your face
Light up again

[Chorus]
Even the best fall down sometimes
Even the wrong words seem to rhyme
Out of the doubt that fills my mind
I somehow find you and I collide

[Verse 2]
I'm quiet you know
You make a first impression
I've found I'm scared to know
I'm always on your mind

[Chorus]
Even the best fall down sometimes
Even the stars refuse to shine
Out of the back you fall in time
I somehow find you and I collide

[Bridge]
Don't stop here
I lost my place
I'm close behind

[Chorus]
Even the best fall down sometimes
Even the stars refuse to shine
Out of the back you fall in time
I somehow find you and I collide

[Outro]
You finally find you and I collide
You finally find you and I collide"
3546,Wake Me Up When September Ends,Green Day,Green Day,Wake Me Up When September Ends Green Day,"[Verse 1]
Summer has come and passed
The innocent can never last
Wake me up when September ends
Like my father's come to pass
Seven years has gone so fast
Wake me up when September ends

[Chorus]
Here comes the rain again
Falling from the stars
Drenched in my pain again
Becoming who we are
As my memory rests
But never forgets what I lost
Wake me up when September ends

[Verse 2]
Summer has come and passed
The innocent can never last
Wake me up when September ends
Ring out the bells again
Like we did when Spring began
Wake me up when September ends

[Chorus]
Here comes the rain again
Falling from the stars
Drenched in my pain again
Becoming who we are
As my memory rests
But never forgets what I lost
Wake me up when September ends

[Verse 3]
Summer has come and passed
The innocent can never last
Wake me up when September ends
Like my father's come to pass
Twenty years has gone so fast
Wake me up when September ends

[Outro]
Wake me up when September ends
Wake me up when September ends"
3547,Slow Down,Bobby Valentino,Bobby Valentino,Slow Down Bobby Valentino,"[Intro]
Tim and Bob
Bobby Valentino
You know how we do
It's another one

[Verse 1]
I saw you walking
Down on Melrose
You looked like an angel
Straight out of heaven, girl
I was blown away by
Your sexiness
All I have to do is catch up to you

[Chorus]
Slow down I just wanna get to know you
But don't turn around
'Cause that pretty round thing looks good to me
Slow down never seen anything so lovely
Now turn around
And bless me with your beauty, cutie

[Verse 2]
A butterfly tattoo
Right above your navel
Your belly button's pierced too just like I like it girl
Come take a walk with me
You'll be impressed by
The game that I kick to you
Thorough and real

[Bridge 1]
Like a flower fully bloomed in the summertime, you're ready
To be watered by this conversation, you're ready
I'm in awe cause you shine like the sun
Let me be the one to enjoy you (enjoy you)
Let's kick it girl

[Chorus]
So slow down I just wanna get to know you
But don't turn around
'Cause that pretty round thing looks good to me
Slow down never seen anything so lovely
Now turn around
And bless me with your beauty, cutie
Slow down I just wanna get to know you
But don't turn around
'Cause that pretty round thing looks good to me
Slow down never seen anything so lovely
Now turn around
And bless me with your beauty, cutie

[Bridge 2]
Oh baby you know by now that I want you bad
I'm floating on thin air I can't come down
Cupid hit me already damn
Now I can't leave till seven digits are in my hand, my hand

[Bridge 1]
Like a flower fully bloomed in the summertime, you're ready
To be watered by this conversation, you're ready
I'm in awe cause you shine like the sun
Let me be the one to enjoy you (enjoy you)
Let's kick it girl

[Chorus]
Slow down I just wanna get to know you
But don't turn around
'Cause that pretty round thing looks good to me
Slow down never seen anything so lovely
Now turn around
And bless me with your beauty, cutie
Slow down I just wanna get to know you
But don't turn around
'Cause that pretty round thing looks good to me
Slow down never seen anything so lovely
Now turn around
And bless me with your beauty, cutie

[Outro]
You, I don't wanna tell you
Oh, looks good, oh, looks good
Slow down never seen anything so lovely
Cutie
Slow down I just wanna get to know you
But don't turn around
'Cause that pretty round thing looks good to me
Slow down never seen anything so lovely
Now turn around
And bless me with your beauty, cutie"
3548,Over and Over,Nelly featuring Tim McGraw,Nelly featuring,Over and Over Nelly featuring,"[Nelly]
Uh, uh-uh-uh
Uh, uh-uh-uh
Uh, uh-uh-uh

[Hook: Nelly]
Cause it's all in my head
I think about it over and over again
And I can't keep picturin you with him
And it hurts so bad... yeah
Cause it's all in my head
I think about it over and over again
I replay it over and over again
And I can't take it, I can't shake it no

[Nelly]
I can't wait to see you
Wanna see if you still got that look in your eye
That one you had for me
Before, we, said our goodbyes
And it's a shame that we
Gotta spend our time bein mad about the same things
(Over and over again) about the same thing
(Over and over again)
Ho.. but I think, she's leavin
Aw, man, she's leavin
And, I don't know what else to do

[Tim M] I can't go on not lovin you

[Hook: Nelly]
Cause its all in my head
I think about it over and over again
And I can’t keep picturing you with him
And it hurts so bad, yeah
Cause its all in my head
I think about it over and over again
I replay it over and over again yeah
And I can’t take it yeah I can’t shake it
Nooo

[Nelly]
I remember the day you left
I remember the last breath you took right in front of me
When you said that you would leave
I was too damn stubborn to try to stop you or say anything
But I see clearly now
And this choice I made keeps playin in my head
(Over and over again) play in my head
(Over and over again)
Ho.. but I think, she's leavin
Aw, man, she's leavin
And, I don't know what else to do

[Tim M] I can't go on not lovin you

[Hook: Nelly]
Cause its all in my head
I think about it over and over again
And I can’t keep picturing you with him
And it hurts so bad, yeah
Cause its all in my head
I think about it over and over again
I replay it over and over again yeah
And I can’t take it yeah I can’t shake it
No

[Nelly]
Now, that I've real-izzzed
That I'mmmm goin dow-hown
From all this pain you've put me through

[Tim M]
Everytime I close my eyes (woo!)
I-hiiii lock it dowww-wn, ohh-hooo
I can't go on not lovin you

[Hook: Nelly]
Cause its all in my head
I think about it over and over again
And I can’t keep picturing you with him
And it hurts so bad, yeah
Cause its all in my head
I think about it over and over again
I replay it over and over again yeah
And I can’t take it yeah I can’t shake it
No

[Hook: Nelly]
Cause its all in my head
I think about it over and over again
And I can’t keep picturing you with him
And it hurts so bad, yeah
Cause its all in my head
I think about it over and over again
I replay it over and over again yeah
And I can’t take it yeah I can’t shake it
No

[Nelly]
Uh, uh-uh-uh
Uh, uh-uh-uh
Uh, uh-uh-uh
Uh, uh-uh-uh
Uh, uh-uh-uh
Uh... over and over again, over and over again

Cause it's all in my head"
3549,Some Cut,Trillville featuring Cutty,Trillville featuring,Some Cut Trillville featuring,"[Produced by Lil Jon]

[Hook: Cutty]
What it is ho, what's up
Can a nigga get in them guts
Cut you up like you ain't been cut
Show your ass how to really catch a nut
Well give me you number and I'll call
And I'll follow that ass in the mall
Take you home, let you juggle my balls
While I'm beating and tearing down your walls

[Verse 1: Dirty Mouth]
This your boy Mr. Funkadelic, what's the business baby
I've been eyeing you all day in the mall miss lady
You looking good, I think I seen your ass in the hood
With your friends dressed up, trying to front if you could
But anyway, gone and drop a number or something
So I can call you later on,on your phone or something
Take you home, and maybe we could bone or something
It's no limits to what we do, cause tonight we cutting, gut busting
I'm digging in your walls something viscious
With your legs to the ceiling, catch a nut someting serious
You delirious, or might I say you taste so delicious
With your pretty brown skin, like almond joys and kisses
And you ah certified head doctor
Number one staller that takes dick in the ass and won't holler
Bend you over and I""ll follow you straight to the room
Where it goes down lovely in the Legion of Doom

[Hook]

[Verse 2: Lil LA]
Shit, you know the deal before a nigga even stepped
Damn that ass hot, seems like it's gone melt
You know I give it to you til you run out of breath
Then bust a nut all over yourself
The first time I called, you were juggling on my balls
In and out of your jaws, I was beating down your walls
Had your ass breaking laws for a player was the cause
And every time you seen a G you was slipping off your drawers, I recall
I met your ass at the mall, in the fall
You the one with the dress on, let me take you home
Show your ass how to buss a nut, up in the guts
Cut you up like you ain't been cut
From the back then to the side to the front
Turn around,you got me right
I smack them thighs, anyway that you want me
So gone see about a pimp and that monkey
And that's fo' sho'

[Hook]

[Verse 3]
What's the buiseness baby, can I get in them drawes
I like the way your hands rub against my balls
Cause you the one, a nigga met at south dekalb mall
With your pretty brown skin, thick thighs and all
135 petite, and your smell is unique
Maybe we can exchange numbers and hook up in the week
Oh, You a freak, I knew it from the first time I saw you
The way you played with your tongue, I knew right then I would call you
So what it is, they call me Super Don from the ville
And I'mma tell you like this, cause a nigga so real, and stay trill
Cause all I wanna do is just drill, with that ass in the air, and the pussy I kill
And I feel, you love to fuck up on a hill
Suck dick from behind, and take nut in your grill
So bitch chill, and shut your mouth just for a second
While I lay this dick down on you just like I'm Teddy

[Hook]"
3550,Get It Poppin',Fat Joe featuring Nelly,Fat Joe,Get It Poppin' Fat Joe,"[Fat Joe]
Crack! Yeah, Scott Storch y'all
Dirty, Crack! C'mon

[Hook 1: Nelly]
It's two up in the mornin girl, and the DJ playin that song
Now what'chu gon' do? (I'mma get get get it poppin)
Now what'chu gon' do? (I'mma get get get it poppin)
I said it's two up in the mornin girl, and the DJ playin that song
Now what'chu gon' do? (I'mma get get get it poppin)
Now what'chu gon' do? (I'mma get get get it poppin)

[Verse 1: Fat Joe]
I got that plat no-limit American Express card
Mami you can get whatever you like
Plus I got that all-black Phantom it's tinted on four sides
Go 'head kiss it, they can't see us inside
Mami tell me do you like - it, I know you like - it
It's written all over your face don't fight - it
You like - it, more than I like - it
So put it all over your face don't bite - it
From rags to riches, club packed with bitches
Had to bag them digits, her head game was vicious (muah)
And we can get it poppin' in the bathroom
Don't be selfish ma, go ahead and pass it to him
Then we can all fuck
It's like a million on my neck, got all of these bitches awestruck
Aowww! We pissy drunk off of Seraphin
I'm up in V.I.P. and these bitches are screamin ""Let me in""

[Nelly]
Uh, uh, uh, uh

[Hook 2: Nelly]
It's two up in the mornin girl, and the DJ playin that song
Now what'chu gon' do? (I'mma get get get it poppin)
Now what'chu gon' do? (I'mma get get get it poppin)
It's two up in the mornin now, and I'm tryin to go home wit'chu
Now what'chu gon' do? (I'mma get get get it poppin)
Now what'chu gon' do? (I'mma get get get it poppin)

[Verse 2: Fat Joe]
Ha ha, yeah, uhh, yo, uh
Get it poppin, go 'head and drop it
It's written all over your face, don't stop it
Just drop it, more like it's hot, miss
Kick in the do' with the fo-fo messin' with Joe
Now this chick got an ass so fat in fact I
Put a drink on it and I came right back
She would never talk to a lame like that
In my ear screamin how you got a name like Crack
Crack - similar to Mike Jones
Hear my name enough, then I'm takin you home
Aowwwwww! You know I walk with I talk with
I sleep with the chrome, one squeeze and you're gone
What I look like, not takin at least
Three to six women out the club with me
Now we back to the fuck pad, call it the fuck pad
Cause all these bitches fuckin with me, talk to 'em dirty

[Nelly]
Uh, uh, uh, uh

[Hook 3: Nelly, Fat Joe]
It's two up in the mornin girl, and the DJ playin that song
Now what'chu gon' do? (I'mma get get get it poppin)
Now what'chu gon' do? (I'mma get get get it poppin)
Well it's two up in the mornin and, them niggas try'n hate on your crew
Nigga what'chu gon' do? (I'mma get get get it poppin)
Yeah what'chu gon' do? (I'mma get get get it poppin)

[Verse 3: Fat Joe]
Now when them doors swing open with that awkward motion
What'chu call it - suicide, it's a suicide
And if them niggas talk shit cause they drunk off that potion
They commitin - suicide, it's a suicide
Let's get it poppin my niggas (Cook, yo)
I got a shotty my niggas (oh, Lord)
I feel sorry for your mudda, give a fuck what you say
Spin your head back, promote you on a videotape

[Hook 4: Nelly]
It's two up in the mornin girl, and the DJ playin that song
Now what'chu gon' do? (I'mma get get get it poppin)
Now what'chu gon' do? (I'mma get get get it poppin)
It's four up in the mornin now, and I'm tryin to go home wit'chu
Girl what'chu gon' do? (I'mma get get get it poppin)
What'chu gon' do? (I'mma get get get it poppin)
C'mon

[Fat Joe]
Yeah, it's Crack! (What'chu gon' do)
Cafe {?}, all my people in there partyin
All the party people across the world
Ladies, ""Things of that Nature""
Aowwww!"
