,Song,Artist,artist_trunc,search_term,lyrics_raw
79,Solid,Ashford & Simpson,Ashford &,Solid Ashford &,error
80,Angel,Madonna,Madonna,Angel Madonna,error
81,I'm on Fire,Bruce Springsteen,Bruce Springsteen,I'm on Fire Bruce Springsteen,error
82,Method of Modern Love,Hall & Oates,Hall &,Method of Modern Love Hall &,error
83,Lay Your Hands on Me,Thompson Twins,Thompson Twins,Lay Your Hands on Me Thompson Twins,error
84,Who's Holding Donna Now,DeBarge,DeBarge,Who's Holding Donna Now DeBarge,error
85,Lonely Ol' Night,John Cougar Mellencamp,John Cougar,Lonely Ol' Night John Cougar,error
86,What About Love,Heart,Heart,What About Love Heart,error
87,California Girls,David Lee Roth,David Lee,California Girls David Lee,error
88,Fresh,Kool & the Gang,Kool &,Fresh Kool &,error
89,Do What You Do,Jermaine Jackson,Jermaine Jackson,Do What You Do Jermaine Jackson,error
90,Jungle Love,The Time,The Time,Jungle Love The Time,error
91,Born in the U.S.A.,Bruce Springsteen,Bruce Springsteen,Born in the U.S.A. Bruce Springsteen,error
92,Private Dancer,Tina Turner,Tina Turner,Private Dancer Tina Turner,error
93,Who's Zoomin' Who,Aretha Franklin,Aretha Franklin,Who's Zoomin' Who Aretha Franklin,error
94,Fortress Around Your Heart,Sting,Sting,Fortress Around Your Heart Sting,error
95,Penny Lover,Lionel Richie,Lionel Richie,Penny Lover Lionel Richie,error
96,All She Wants to Do Is Dance,Don Henley,Don Henley,All She Wants to Do Is Dance Don Henley,error
97,Dress You Up,Madonna,Madonna,Dress You Up Madonna,error
98,Sentimental Street,Night Ranger,Night Ranger,Sentimental Street Night Ranger,error
99,Sugar Walls,Sheena Easton,Sheena Easton,Sugar Walls Sheena Easton,error
100,(Everything I Do) I Do It for You,Bryan Adams,Bryan Adams,(Everything I Do) I Do It for You Bryan Adams,error
101,I Wanna Sex You Up,Color Me Badd,Color Me,I Wanna Sex You Up Color Me,error
102,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,C+C Music,Gonna Make You Sweat (Everybody Dance Now) C+C Music,error
103,Rush Rush,Paula Abdul,Paula Abdul,Rush Rush Paula Abdul,error
104,One More Try,Timmy T,Timmy T,One More Try Timmy T,error
105,Unbelievable,EMF,EMF,Unbelievable EMF,error
106,More Than Words,Extreme,Extreme,More Than Words Extreme,error
107,I Like the Way (The Kissing Game),Hi-Five,Hi-Five,I Like the Way (The Kissing Game) Hi-Five,error
108,The First Time,Surface,Surface,The First Time Surface,error
109,Baby Baby,Amy Grant,Amy Grant,Baby Baby Amy Grant,error
110,Motownphilly,Boyz II Men,Boyz II,Motownphilly Boyz II,error
111,Because I Love You (The Postman Song),Stevie B,Stevie B,Because I Love You (The Postman Song) Stevie B,error
112,Someday,Mariah Carey,Mariah Carey,Someday Mariah Carey,error
113,High Enough,Damn Yankees,Damn Yankees,High Enough Damn Yankees,error
114,From a Distance,Bette Midler,Bette Midler,From a Distance Bette Midler,error
115,All the Man That I Need,Whitney Houston,Whitney Houston,All the Man That I Need Whitney Houston,error
116,"Right Here, Right Now",Jesus Jones,Jesus Jones,"Right Here, Right Now Jesus Jones",error
117,I Adore Mi Amor,Color Me Badd,Color Me,I Adore Mi Amor Color Me,error
118,Love Will Never Do (Without You),Janet Jackson,Janet Jackson,Love Will Never Do (Without You) Janet Jackson,error
119,Good Vibrations,Marky Mark and the Funky Bunch featuring Loleatta Holloway,Marky Mark,Good Vibrations Marky Mark,error
120,Justify My Love,Madonna,Madonna,Justify My Love Madonna,error
121,Emotions,Mariah Carey,Mariah Carey,Emotions Mariah Carey,error
122,Joyride,Roxette,Roxette,Joyride Roxette,error
123,Romantic,Karyn White,Karyn White,Romantic Karyn White,error
124,Hold You Tight,Tara Kemp,Tara Kemp,Hold You Tight Tara Kemp,error
125,I Don't Wanna Cry,Mariah Carey,Mariah Carey,I Don't Wanna Cry Mariah Carey,error
